63 -1||| 62 -1||| 61 -1||| 60 -1||| 59 -1||| 58 -1||| 
36 1||| 34 -1||| 33 -1||| 32 -1||| 32 -1||| 62 1||| 

62 36 1||| 34 34 -1||| 40 33 -1||| 38 33 -1||| 40 32 -1||| 62 62 1||| 

62 36 1||| 34 34 -1||| 40 34 -1||| 38 33 -1||| 40 32 -1||| 62 62 1||| 

62 36 1||| 34 34 -1||| 40 34 -1||| 38 33 -1||| 40 32 -1||| 62 63 -1||| 

62 36 1||| 62 35 1||| 40 34 -1||| 38 33 -1||| 40 32 -1||| 34 63 -1||| 

62 36 1||| 62 35 1||| 40 35 -1||| 38 33 -1||| 40 32 -1||| 34 63 -1||| 

36 1||| 35 1||| 35 -1||| 33 -1||| 32 -1||| 32 -1||| 

62 36 1||| 62 35 1||| 40 35 -1||| 38 33 -1||| 40 33 -1||| 34 32 -1||| 

37 1||| 35 1||| 35 -1||| 33 -1||| 33 -1||| 32 -1||| 

62 37 1||| 62 35 1||| 40 35 -1||| 38 34 -1||| 40 33 -1||| 34 32 -1||| 

62 37 1||| 62 36 1||| 40 35 -1||| 38 34 -1||| 40 33 -1||| 34 32 -1||| 

62 38 1||| 62 36 1||| 40 35 -1||| 38 34 -1||| 40 33 -1||| 34 32 -1||| 

38 1||| 37 1||| 35 -1||| 34 -1||| 33 -1||| 32 -1||| 

38 1||| 37 1||| 35 -1||| 34 -1||| 34 -1||| 32 -1||| 

62 38 1||| 62 37 1||| 40 35 -1||| 38 35 -1||| 40 34 -1||| 34 32 -1||| 

62 38 1||| 62 37 1||| 40 36 -1||| 38 35 -1||| 40 34 -1||| 34 32 -1||| 

62 38 1||| 62 37 1||| 40 36 -1||| 38 35 -1||| 40 34 -1||| 34 33 -1||| 

39 1||| 37 1||| 36 -1||| 35 -1||| 34 -1||| 33 -1||| 

62 39 1||| 62 37 1||| 40 36 -1||| 38 35 -1||| 40 35 -1||| 34 33 -1||| 

62 39 1||| 62 38 1||| 40 36 -1||| 38 35 -1||| 40 35 -1||| 34 33 -1||| 

62 39 1||| 62 38 1||| 40 36 -1||| 38 35 -1||| 40 35 -1||| 34 34 -1||| 

39 1||| 38 1||| 37 -1||| 35 -1||| 35 -1||| 34 -1||| 

39 1||| 38 1||| 37 -1||| 36 -1||| 35 -1||| 34 -1||| 

62 39 1||| 62 38 1||| 40 37 -1||| 38 36 -1||| 40 36 -1||| 34 34 -1||| 

62 39 1||| 62 38 1||| 40 38 -1||| 38 36 -1||| 40 36 -1||| 34 34 -1||| 

62 39 1||| 62 38 1||| 40 38 -1||| 38 36 -1||| 40 36 -1||| 62 35 1||| 

40 1||| 38 1||| 38 -1||| 36 -1||| 36 -1||| 35 1||| 

62 40 1||| 62 38 1||| 40 38 -1||| 38 37 -1||| 40 36 -1||| 62 35 1||| 

62 40 1||| 62 39 1||| 40 38 -1||| 38 37 -1||| 40 36 -1||| 62 35 1||| 

40 1||| 40 1||| 38 -1||| 37 -1||| 36 -1||| 35 1||| 

62 40 1||| 62 40 1||| 40 38 -1||| 38 37 -1||| 40 37 -1||| 62 35 1||| 

62 40 1||| 62 40 1||| 40 38 -1||| 38 37 -1||| 40 37 -1||| 62 36 1||| 

41 1||| 40 1||| 38 -1||| 37 -1||| 37 -1||| 36 1||| 

62 41 1||| 62 40 1||| 40 38 -1||| 38 38 -1||| 40 37 -1||| 62 36 1||| 

62 41 1||| 62 40 1||| 40 39 -1||| 38 38 -1||| 40 37 -1||| 62 36 1||| 

41 1||| 40 1||| 40 -1||| 38 -1||| 37 -1||| 36 1||| 

41 1||| 40 1||| 40 -1||| 38 -1||| 38 -1||| 36 1||| 

62 41 1||| 62 40 1||| 40 40 -1||| 24 39 1||| 40 38 -1||| 62 36 1||| 

62 41 1||| 62 41 1||| 40 40 -1||| 24 39 1||| 40 38 -1||| 62 36 1||| 

62 42 1||| 62 41 1||| 40 40 -1||| 24 39 1||| 40 38 -1||| 62 36 1||| 

62 42 1||| 62 41 1||| 40 40 -1||| 24 39 1||| 40 38 -1||| 62 37 1||| 

62 42 1||| 62 42 1||| 40 40 -1||| 24 39 1||| 40 38 -1||| 62 37 1||| 

62 42 1||| 62 42 1||| 40 40 -1||| 24 39 1||| 40 38 -1||| 62 38 1||| 

43 1||| 42 1||| 40 -1||| 39 1||| 38 -1||| 38 1||| 

43 1||| 42 1||| 40 -1||| 40 1||| 38 -1||| 38 1||| 

62 43 1||| 62 42 1||| 40 40 -1||| 24 40 1||| 40 39 -1||| 62 38 1||| 

62 43 1||| 62 42 1||| 62 41 1||| 24 40 1||| 40 39 -1||| 62 38 1||| 

62 43 1||| 62 43 1||| 62 41 1||| 24 40 1||| 40 39 -1||| 62 38 1||| 

62 43 1||| 62 43 1||| 62 42 1||| 24 40 1||| 40 39 -1||| 62 38 1||| 

43 1||| 43 1||| 42 1||| 40 1||| 39 -1||| 39 1||| 

43 1||| 43 1||| 42 1||| 41 1||| 39 -1||| 39 1||| 

62 43 1||| 62 43 1||| 62 42 1||| 24 41 1||| 40 40 -1||| 62 39 1||| 

44 1||| 43 1||| 42 1||| 41 1||| 40 -1||| 39 1||| 

62 44 1||| 62 43 1||| 62 42 1||| 24 41 1||| 22 41 1||| 62 39 1||| 

44 1||| 44 1||| 42 1||| 41 1||| 41 1||| 39 1||| 

