TIME  COMMAND  CELL  BOXTYPE  CHANNEL BOTID
------------------------------------------
   0 startPalletize #1
 204 startMotion   B4       -1   60    5
 205 endMotion     B7       -1   84    4
 205 endMotion     B8       -1   63    3
 206 startMotion   B8       -1   63    3
 206 startMotion   B7       -1   84    4
 207 endMotion    B10        7  121    1
 207 endMotion     B5       11  120    6
 207 endMotion     B9        8  122    2
 208 startMotion   B5       11  120    6
 208 startMotion   B9        8  122    2
 208 startMotion  B10        7  121    1
 208 endMotion     B5       -1   60    5
 209 startMotion   B5       -1   60    5
 210 endMotion     B9       -1   63    3
 211 startMotion   B9       -1   63    3
 212 movebox2bot             9   84    4
 212 endMotion     B8        9   84    4
 212 endMotion    B10        8  122    2
 212 endMotion    B11        7  121    1
 212 endMotion     B6       11  120    6
 213 startMotion  B10        8  122    2
 213 endMotion     B6       -1   60    5
 213 startMotion   B8        9   84    4
 213 startMotion  B11        7  121    1
 213 startMotion   B6       11  120    6
 214 startMotion   B6       -1   60    5
 217 endMotion    B12        7  121    1
 217 endMotion     B9        9   84    4
 217 movebox2bot             9   63    3
 217 endMotion    B10        9   63    3
 217 endMotion     B7       11  120    6
 217 endMotion    B11        8  122    2
 218 startMotion   B7       11  120    6
 218 startMotion  B11        8  122    2
 218 startMotion  B12        7  121    1
 218 startMotion   B9        9   84    4
 218 endMotion     B7       -1   60    5
 218 startMotion  B10        9   63    3
 219 startMotion   B7       -1   60    5
 222 endMotion    B12        8  122    2
 222 endMotion    B13        7  121    1
 222 endMotion    B10        9   84    4
 222 endMotion    B11        9   63    3
 222 endMotion     B8       11  120    6
 223 endMotion     B8       -1   60    5
 223 startMotion  B12        8  122    2
 223 startMotion  B13        7  121    1
 223 startMotion  B10        9   84    4
 223 startMotion   B8       11  120    6
 223 startMotion  B11        9   63    3
 224 startMotion   B8       -1   60    5
 227 endMotion    B13        8  122    2
 227 endMotion    B12        9   63    3
 227 endMotion    B14        7  121    1
 227 endMotion    B11        9   84    4
 227 endMotion     B9       11  120    6
 228 endMotion     B9       -1   60    5
 228 startMotion  B11        9   84    4
 228 startMotion   B9       11  120    6
 228 startMotion  B13        8  122    2
 228 startMotion  B12        9   63    3
 228 startMotion  B14        7  121    1
 229 startMotion   B9       -1   60    5
 232 endMotion    B13        9   63    3
 232 endMotion    B10       11  120    6
 232 endMotion    B12        9   84    4
 232 endMotion    B15        7  121    1
 232 endMotion    B14        8  122    2
 233 startMotion  B15        7  121    1
 233 startMotion  B14        8  122    2
 233 startMotion  B10       11  120    6
 233 startMotion  B12        9   84    4
 233 startMotion  B13        9   63    3
 235 movebox2bot             6   60    5
 235 endMotion    B10        6   60    5
 236 startMotion  B10        6   60    5
 237 endMotion    B13        9   84    4
 237 endMotion    B11       11  120    6
 237 endMotion    B16        7  121    1
 237 endMotion    B14        9   63    3
 237 endMotion    B15        8  122    2
 238 startMotion  B16        7  121    1
 238 startMotion  B14        9   63    3
 238 startMotion  B13        9   84    4
 238 startMotion  B15        8  122    2
 238 startMotion  B11       11  120    6
 239 endMotion    A16        7  121    1
 240 endMotion    B11        6   60    5
 240 startMotion  A16        7  121    1
 241 startMotion  B11        6   60    5
 242 endMotion    B12       11  120    6
 242 endMotion    B15        9   63    3
 242 endMotion    B14        9   84    4
 242 endMotion    B16        8  122    2
 243 startMotion  B15        9   63    3
 243 startMotion  B16        8  122    2
 243 startMotion  B14        9   84    4
 243 startMotion  B12       11  120    6
 244 endMotion    A15        7  121    1
 244 endMotion    A16        8  122    2
 245 startMotion  A16        8  122    2
 245 startMotion  A15        7  121    1
 245 endMotion    B12        6   60    5
 246 startMotion  B12        6   60    5
 247 endMotion    B13       11  120    6
 247 endMotion    B15        9   84    4
 247 endMotion    B16        9   63    3
 248 startMotion  B16        9   63    3
 248 startMotion  B15        9   84    4
 248 startMotion  B13       11  120    6
 249 endMotion    A16        9   63    3
 249 endMotion    A15        8  122    2
 249 endMotion    A14        7  121    1
 250 startMotion  A15        8  122    2
 250 startMotion  A16        9   63    3
 250 endMotion    B13        6   60    5
 250 startMotion  A14        7  121    1
 251 startMotion  B13        6   60    5
